"id","Gender","Age","Educ.lvl","WDP.Theil","WDP.Gini","WDP.Atkinson","k2all","k2strong","ext.right","ext.left"
304,"M",5,3,0,0,0,1,1,0,0
305,"F",2,5,0,0,0,0,0,0,0
306,"M",1,5,0,0,0,1,1,0,0
307,"M",2,5,1,1,1,0,0,0,0
308,"F",5,6,1,1,1,1,1,0,0
309,"M",6,2,NA,NA,NA,0,0,NA,NA
310,"F",4,5,0,0,0,1,1,0,1
311,"F",5,2,1,1,1,0,0,NA,NA
312,"F",2,6,1,1,1,0,0,0,0
313,"F",2,2,0,0,0,0,0,0,0
314,"M",7,5,0,0,0,0,0,0,1
315,"M",2,6,1,1,1,0,0,0,0
316,"F",3,6,1,1,1,1,1,0,0
317,"F",2,5,0,0,0,1,0,0,1
318,"M",1,NA,0,0,0,1,1,0,1
319,"F",3,6,1,1,1,0,0,0,1
320,"F",4,6,1,0,1,1,1,0,0
321,"F",2,6,1,1,1,1,0,0,0
322,"M",2,6,1,1,1,1,0,0,0
323,"M",4,2,0,0,0,1,0,0,1
324,"M",6,6,1,1,1,1,0,0,0
325,"F",5,6,0,0,0,1,1,0,0
326,"M",2,6,1,1,1,1,1,0,0
327,"F",2,6,0,0,0,1,1,0,0
328,"M",2,5,1,1,1,0,0,0,0
329,NA,NA,4,NA,NA,NA,0,0,NA,NA
330,"F",5,2,1,1,1,1,0,0,0
331,"M",5,6,0,NA,0,1,0,0,0
332,"F",3,6,1,1,1,1,0,0,1
333,"F",3,2,1,1,1,1,1,1,0
334,"F",4,5,1,1,1,0,0,0,0
335,"M",4,6,0,0,0,0,0,0,0
336,NA,NA,4,NA,NA,NA,0,0,NA,NA
337,"M",4,6,0,0,0,1,0,0,0
338,"M",3,6,0,0,0,0,0,0,0
339,"M",3,2,0,0,0,1,0,1,0
340,"M",5,6,0,0,0,1,0,0,0
341,"F",4,5,1,1,1,0,0,NA,NA
342,"M",5,2,0,0,0,0,0,0,1
343,"F",3,5,0,0,0,0,0,0,1
344,"M",5,2,1,0,0,1,1,0,1
345,"F",2,6,1,1,0,1,1,0,1
346,"F",7,2,1,1,1,0,0,0,0
347,"M",5,2,0,0,0,1,1,1,0
348,"F",3,6,1,1,1,0,0,0,NA
349,"M",2,6,0,0,0,1,0,0,0
350,"F",1,4,0,0,0,0,0,0,1
351,"M",3,5,0,0,0,1,1,0,1
352,"F",2,2,0,0,0,0,0,1,1
353,"F",3,6,1,1,1,0,0,0,NA
354,"F",2,6,0,0,0,0,0,0,0
355,"M",2,5,1,1,1,1,0,0,0
356,"M",2,5,0,1,0,1,1,0,0
357,"F",2,5,1,1,1,0,0,0,0
358,"F",2,5,1,1,0,0,0,0,0
359,"F",4,6,1,1,1,0,0,0,0
360,"M",3,6,0,0,0,1,1,0,0
361,"M",3,5,0,0,0,1,1,0,0
362,"F",6,6,0,0,0,1,0,0,0
363,"M",5,3,0,0,0,1,0,1,0
364,"F",5,3,0,0,0,1,0,1,0
