"id","Gender","Age","studies","WDP.Theil","WDP.Gini","WDP.Atkinson"
602,"f","18-29","superieur",1,1,1
603,"nspp","30-39","superieur",0,0,0
605,"h","+70","superieur",0,0,0
606,"h","40-49","superieur",1,1,1
609,"h","40-49","superieur",1,1,1
611,"h","30-39","secondaire",0,0,0
612,"f","18-29","superieur",1,1,1
613,"h","40-49","superieur",0,0,0
614,"h","30-39","secondaire",0,0,0
616,"f","+70","superieur",0,0,0
617,"h","18-29","superieur",1,1,1
618,"h","30-39","superieur",1,1,1
619,"nspp","18-29","superieur",1,0,1
622,"h","18-29","superieur",1,1,1
623,"h","30-39","superieur",1,1,1
629,"h","18-29","superieur",1,1,1
630,"h","60-69","superieur",0,0,0
631,"h","18-29","superieur",1,0,1
633,"f","50-59","superieur",1,1,1
634,"h","30-39","superieur",1,1,1
635,"h","30-39","superieur",0,0,0
637,"h","40-49","superieur",0,0,0
638,"f","60-69","superieur",1,1,1
640,"f","+70","superieur",1,0,1
642,"f","40-49","superieur",1,1,1
645,"h","+70","superieur",1,1,1
651,"h","30-39","superieur",0,0,0
652,"h","50-59","secondaire",0,NA,0
653,"h","18-29","superieur",0,0,0
654,"","","",1,0,1
657,"f","40-49","superieur",1,0,1
658,"h","30-39","superieur",1,0,0
660,"f","40-49","superieur",0,0,0
663,"f","18-29","superieur",1,1,1
668,"h","0-18","secondaire",1,1,1
676,"h","30-39","superieur",0,0,0
678,"h","18-29","superieur",0,0,0
679,"h","30-39","superieur",1,1,1
680,"h","18-29","superieur",1,1,1
682,"h","40-49","superieur",1,1,1
683,"f","18-29","superieur",1,1,1
686,"f","30-39","superieur",1,1,1
688,"h","30-39","superieur",0,0,0
690,"h","40-49","superieur",1,1,1
692,"f","30-39","superieur",1,1,1
693,"f","18-29","superieur",1,1,1
694,"h","40-49","superieur",0,0,0
696,"h","30-39","superieur",1,1,1
697,"h","30-39","superieur",0,0,0
698,"f","50-59","superieur",1,1,1
700,"h","18-29","superieur",1,1,1
701,"h","18-29","superieur",0,0,0
702,"h","30-39","superieur",1,0,1
703,"h","30-39","superieur",1,1,1
706,"h","18-29","superieur",0,0,0
707,"h","50-59","",0,1,0
708,"h","40-49","superieur",1,1,1
709,"f","30-39","superieur",0,0,0
712,"h","40-49","superieur",1,1,1
715,"f","40-49","superieur",1,1,1
717,"h","40-49","superieur",1,1,1
718,"h","30-39","superieur",0,0,0
719,"f","18-29","superieur",1,1,1
720,"h","30-39","superieur",1,1,1
723,"h","50-59","superieur",1,1,1
726,"h","18-29","superieur",0,0,0
728,"f","18-29","superieur",1,1,1
729,"h","40-49","superieur",1,1,1
730,"h","30-39","superieur",1,1,1
733,"h","18-29","secondaire",1,1,1
734,"h","30-39","superieur",1,0,1
735,"f","18-29","superieur",1,0,1
736,"h","30-39","superieur",1,1,1
737,"h","30-39","superieur",1,1,1
741,"h","30-39","superieur",1,1,1
742,"h","30-39","superieur",1,0,1
744,"h","18-29","superieur",1,1,1
747,"h","30-39","superieur",1,1,1
749,"h","18-29","superieur",0,0,0
750,"h","40-49","superieur",0,0,0
751,"h","30-39","superieur",1,1,1
752,"f","18-29","superieur",1,1,1
753,"h","60-69","superieur",1,0,1
754,"h","18-29","superieur",1,1,1
756,"h","60-69","secondaire",1,0,1
759,"f","18-29","superieur",1,1,1
760,"h","40-49","superieur",1,1,1
761,"f","18-29","superieur",0,0,0
762,"h","40-49","superieur",1,1,1
765,"h","18-29","superieur",1,1,1
769,"f","18-29","superieur",0,0,0
770,"h","18-29","superieur",0,0,0
771,"h","30-39","superieur",1,1,1
772,"h","18-29","superieur",1,1,1
773,"f","+70","superieur",1,0,1
775,"f","18-29","superieur",1,1,1
777,"h","18-29","superieur",1,1,1
778,"h","18-29","superieur",1,1,1
780,"h","18-29","superieur",0,0,0
781,"f","30-39","superieur",1,1,1
783,"h","18-29","superieur",0,NA,0
784,"f","18-29","superieur",1,1,1
787,"nspp","nspp","nspp",0,0,0
789,"h","18-29","superieur",1,1,1
790,"h","60-69","superieur",0,0,0
792,"f","18-29","superieur",1,0,1
793,"h","18-29","",1,1,1
794,"h","18-29","superieur",1,1,1
795,"h","18-29","superieur",1,1,1
796,"f","18-29","superieur",1,1,1
799,"f","30-39","superieur",1,0,1
800,"h","18-29","superieur",1,1,1
801,"h","30-39","superieur",1,1,1
805,"h","18-29","superieur",0,0,0
807,"h","30-39","superieur",1,0,1
809,"f","18-29","superieur",0,0,0
811,"f","18-29","superieur",1,1,1
812,"h","18-29","superieur",1,1,1
813,"","","",1,1,1
815,"h","18-29","superieur",1,1,1
816,"h","18-29","superieur",1,1,1
817,"f","30-39","superieur",1,1,1
819,"h","30-39","superieur",0,0,0
822,"h","30-39","superieur",0,0,0
823,"h","18-29","superieur",1,0,0
826,"h","50-59","superieur",1,1,1
827,"h","30-39","superieur",1,0,1
829,"h","18-29","superieur",1,1,1
830,"f","18-29","superieur",1,1,1
832,"h","18-29","superieur",0,0,0
833,"h","30-39","secondaire",0,0,0
835,"h","18-29","secondaire",1,1,1
836,"h","18-29","superieur",1,0,1
837,"h","30-39","superieur",1,1,1
838,"nspp","18-29","superieur",1,1,1
839,"h","18-29","superieur",1,0,0
840,"h","30-39","superieur",1,1,1
841,"h","18-29","superieur",1,1,1
842,"f","18-29","secondaire",1,0,1
843,"h","18-29","superieur",1,1,1
845,"h","18-29","superieur",0,0,0
847,"h","18-29","superieur",1,0,0
848,"f","30-39","superieur",1,1,1
850,"f","40-49","superieur",0,0,0
854,"h","18-29","superieur",1,1,1
856,"h","0-18","secondaire",1,1,1
860,"h","18-29","superieur",1,1,1
863,"h","18-29","superieur",1,1,1
864,"h","18-29","superieur",1,1,1
865,"h","18-29","superieur",1,1,1
866,"nspp","18-29","secondaire",1,0,1
867,"h","30-39","superieur",1,1,1
872,"f","30-39","secondaire",0,0,0
874,"h","18-29","superieur",1,0,1
877,"h","40-49","superieur",0,0,0
879,"f","40-49","secondaire",1,0,1
881,"h","18-29","superieur",1,1,1
882,"h","40-49","superieur",0,0,0
883,"h","30-39","superieur",1,1,1
884,"f","30-39","superieur",1,1,1
885,"h","18-29","superieur",1,1,1
887,"h","18-29","nspp",0,0,0
889,"h","30-39","superieur",0,0,0
892,"h","18-29","superieur",0,0,0
893,"f","18-29","superieur",1,1,1
896,"h","18-29","superieur",1,1,1
897,"f","18-29","superieur",1,1,1
899,"h","30-39","superieur",1,1,1
901,"h","30-39","superieur",1,1,1
902,"f","18-29","superieur",1,1,1
903,"f","18-29","superieur",1,1,1
904,"h","40-49","superieur",1,1,1
906,"h","18-29","superieur",1,0,1
908,"h","18-29","superieur",1,1,1
909,"f","18-29","superieur",1,1,1
911,"f","0-18","superieur",1,1,1
912,"","","",1,1,1
913,"f","18-29","superieur",1,0,1
916,"h","60-69","superieur",0,NA,0
917,"f","30-39","superieur",0,0,0
921,"h","0-18","secondaire",1,1,1
922,"f","30-39","superieur",1,1,1
925,"f","18-29","superieur",1,0,1
926,"f","18-29","superieur",0,0,0
928,"h","30-39","superieur",1,1,1
929,"h","18-29","superieur",0,0,0
930,"h","18-29","superieur",1,1,1
932,"h","40-49","superieur",1,0,1
933,"f","30-39","superieur",1,0,1
936,"h","30-39","superieur",0,0,0
938,"nspp","18-29","superieur",1,1,1
939,"h","18-29","superieur",1,1,1
940,"h","40-49","superieur",1,0,1
941,"h","0-18","secondaire",1,1,1
942,"f","18-29","superieur",1,1,1
943,"h","30-39","superieur",1,1,1
946,"h","18-29","secondaire",1,0,0
947,"h","40-49","superieur",1,1,1
949,"h","0-18","superieur",0,0,0
950,"h","30-39","superieur",1,0,1
952,"h","18-29","superieur",1,1,1
953,"h","18-29","superieur",1,1,1
955,"f","30-39","superieur",0,0,0
956,"f","18-29","superieur",1,1,1
957,"h","30-39","nspp",0,0,0
960,"f","30-39","superieur",1,0,1
961,"h","30-39","superieur",1,1,1
963,"f","18-29","superieur",1,1,1
965,"h","18-29","superieur",1,1,1
966,"f","18-29","superieur",1,1,1
967,"h","50-59","superieur",0,0,0
969,"h","30-39","superieur",0,0,0
971,"h","18-29","superieur",0,0,0
972,"h","18-29","superieur",0,0,0
976,"h","30-39","superieur",0,0,0
981,"h","18-29","superieur",0,0,0
982,"h","50-59","superieur",1,1,1
984,"f","18-29","superieur",1,1,1
986,"nspp","18-29","superieur",0,0,0
987,"h","30-39","superieur",0,0,0
990,"h","18-29","superieur",1,0,1
993,"h","18-29","superieur",1,1,1
994,"h","18-29","secondaire",0,0,0
995,"h","18-29","superieur",1,0,1
997,"h","18-29","superieur",1,0,1
998,"h","18-29","superieur",0,0,0
999,"nspp","18-29","superieur",1,0,1
1000,"h","18-29","superieur",1,1,1
1001,"h","18-29","superieur",0,0,0
1004,"h","30-39","superieur",1,1,1
1005,"f","30-39","superieur",1,1,1
1008,"h","30-39","superieur",0,0,0
1009,"f","18-29","superieur",1,1,0
1012,"h","18-29","superieur",1,0,1
1013,"h","40-49","superieur",0,0,0
1014,"h","50-59","superieur",1,1,1
1015,"h","18-29","superieur",0,0,0
1016,"h","50-59","superieur",1,1,1
1017,"f","40-49","superieur",0,0,0
1019,"h","18-29","superieur",1,1,1
1021,"h","18-29","superieur",0,0,0
1022,"h","18-29","superieur",0,0,0
1027,"h","18-29","superieur",1,1,1
1028,"f","50-59","superieur",1,1,1
1029,"h","30-39","superieur",1,1,1
1032,"h","18-29","superieur",0,0,0
1033,"h","18-29","superieur",1,1,1
1036,"h","18-29","superieur",1,1,1
1041,"h","60-69","superieur",0,0,0
1042,"h","30-39","superieur",1,0,1
1043,"f","18-29","superieur",0,0,0
1044,"h","18-29","superieur",1,1,1
1045,"h","18-29","superieur",1,1,1
1047,"f","18-29","superieur",1,1,1
1049,"h","60-69","superieur",0,0,0
1050,"f","50-59","superieur",0,0,0
1053,"h","30-39","superieur",1,1,1
1057,"f","18-29","secondaire",0,1,0
1058,"f","40-49","superieur",1,1,1
1059,"h","18-29","superieur",1,0,1
1060,"f","18-29","superieur",1,1,1
1062,"f","50-59","superieur",1,0,1
1064,"h","18-29","superieur",1,0,1
1065,"f","0-18","secondaire",0,0,0
1066,"h","40-49","superieur",0,0,0
1068,"h","18-29","superieur",1,1,1
1070,"f","30-39","superieur",0,0,0
1071,"h","18-29","superieur",1,1,1
1072,"h","40-49","superieur",0,0,0
1073,"f","30-39","superieur",1,1,1
1075,"h","18-29","superieur",1,1,1
1077,"f","30-39","superieur",1,1,1
1078,"h","30-39","superieur",1,1,1
1079,"h","50-59","superieur",0,0,0
1080,"h","30-39","superieur",1,1,1
1081,"f","30-39","superieur",0,0,0
1083,"h","18-29","superieur",1,0,1
1085,"h","40-49","superieur",1,1,1
1086,"h","30-39","superieur",0,0,0
1087,"f","40-49","superieur",0,0,0
1090,"h","18-29","superieur",0,0,0
1092,"h","30-39","superieur",0,0,0
1093,"h","18-29","superieur",1,1,1
1094,"h","18-29","superieur",1,1,1
1098,"h","40-49","superieur",1,1,1
