"id","Gender","Age","Educ.lvl","WDP.Theil","WDP.Gini","WDP.Atkinson","k2all","k2strong","ext.right","ext.left"
588," M",2,3,1,1,1,0,0,0,0
589," M",3,3,1,1,1,0,0,0,0
590," F",3,3,0,0,0,0,0,0,0
591," M",6,3,0,0,0,1,1,0,0
592," M",1,3,1,1,1,1,0,0,0
593," M",5,3,1,1,1,1,1,0,0
594," M",6,3,NA,NA,NA,0,0,0,0
595," F",2,3,1,1,1,1,0,0,0
596," M",1,NA,1,1,1,0,0,0,0
597," F",4,3,1,1,1,0,0,0,0
598," F",2,3,1,1,1,1,1,0,1
599," F",4,3,0,NA,0,0,0,0,0
600," F",3,3,1,1,1,1,1,0,1
601," M",5,3,0,0,0,0,0,0,1
602," M",1,3,1,1,1,0,0,0,0
603," F",2,3,0,0,0,0,0,0,1
604," F",1,3,1,1,1,0,0,0,1
605," F",1,3,1,1,1,0,0,0,1
606," F",6,3,1,1,1,1,1,0,0
607," M",2,3,0,1,0,0,0,0,0
608," F",4,3,1,0,1,1,1,0,0
609," M",5,3,1,1,1,0,0,0,1
610," F",6,3,1,0,0,0,0,0,0
611," M",6,3,0,NA,0,0,0,0,0
612," M",6,2,NA,NA,NA,0,0,0,0
613," F",1,3,1,1,1,0,0,0,0
614," F",5,2,0,NA,0,0,0,1,0
615," M",2,3,1,1,1,0,0,0,0
616," M",2,3,1,1,1,1,1,0,0
617," M",4,3,1,1,1,0,0,0,0
