"id","Gender","Age","Educ.lvl","WDP.Theil","WDP.Gini","WDP.Atkinson","k2all","k2strong","ext.right","ext.left"
495,"M",3,3,1,0,1,1,1,0,1
496,"F",4,3,1,1,1,0,0,0,0
497,"M",3,3,1,1,1,1,0,0,1
498,"F",2,3,0,0,0,0,0,0,0
500,"M",2,3,0,0,0,0,0,0,1
502,"F",3,3,1,1,1,0,0,0,1
503,"F",3,3,0,0,0,0,0,0,1
505,"M",3,3,0,0,0,1,1,0,1
508,"F",5,3,1,0,1,0,0,0,1
510,"F",6,3,1,1,1,1,0,0,0
511,"M",2,3,0,NA,0,0,0,0,0
512,"M",3,3,1,0,1,1,1,1,0
513,"F",6,3,1,1,1,0,0,0,0
517,"M",2,3,1,1,1,0,0,0,0
519,NA,NA,NA,0,0,0,1,1,0,0
520,"F",4,3,1,1,1,0,0,0,1
522,"M",3,3,0,0,0,0,0,0,1
524,"F",2,3,1,1,1,1,0,0,1
528,"M",3,3,0,0,0,0,0,0,1
529,"F",2,3,0,NA,0,1,0,0,0
530,"M",3,3,0,0,0,0,0,0,0
531,"M",3,3,1,1,1,1,0,0,0
533,"M",2,3,1,1,1,1,1,0,1
534,"M",2,3,1,1,1,0,0,0,1
537,"M",4,3,0,0,0,1,1,0,0
538,"F",5,3,1,1,1,0,0,0,1
539,"M",4,3,1,1,1,0,0,0,1
540,"M",3,3,1,1,1,1,1,0,1
541,"M",2,3,1,1,1,1,1,0,1
542,"M",4,3,1,1,1,1,0,0,0
543,"M",3,3,1,0,1,1,0,0,1
544,"F",3,3,1,1,1,1,0,0,1
545,"M",3,3,1,0,1,0,0,0,0
546,"M",4,3,1,1,1,1,1,0,1
547,"M",2,3,1,1,1,0,0,0,1
549,"M",2,3,1,0,1,1,0,0,1
554,"M",4,3,1,1,1,0,0,0,0
555,"F",2,3,1,1,1,0,0,0,1
561,"F",2,3,1,1,1,1,1,0,1
562,"M",2,3,1,1,1,0,0,0,1
563,"F",4,3,0,0,0,1,0,0,0
564,"M",2,3,1,1,1,1,1,0,0
566,"F",2,3,1,1,1,1,1,0,1
568,"M",4,3,0,0,0,0,0,0,1
573,"M",3,3,1,1,1,0,0,0,1
574,"M",2,2,0,NA,0,1,1,0,0
575,"F",2,3,0,0,0,1,0,0,0
576,"M",3,3,1,1,1,0,0,0,0
578,"F",2,3,1,1,1,1,1,0,1
580,"M",4,3,1,1,1,1,1,0,1
581,"F",2,3,0,0,0,1,1,0,0
583,"M",5,3,1,1,1,0,0,0,1
584,"F",2,3,1,1,1,0,0,0,0
585,"F",5,3,1,1,1,1,1,0,0
586,"F",2,3,1,0,1,1,0,0,1
587,"M",3,3,0,0,0,1,1,0,1
588,"F",5,3,1,1,1,0,0,0,1
589,"F",5,3,0,0,0,0,0,0,0
590,"M",3,3,1,0,1,0,0,0,1
591,"M",5,3,1,1,1,0,0,0,0
592,"M",2,3,1,1,1,1,1,0,1
593,"M",2,3,1,1,1,0,0,0,0
595,"F",2,3,1,1,1,0,0,0,1
596,"M",3,3,1,1,1,1,1,0,0
597,"F",3,3,1,1,1,1,1,0,0
598,"F",5,3,0,0,0,0,0,0,1
599,"F",2,3,1,1,1,1,0,0,1
601,"M",4,3,1,1,1,0,0,0,1
602,"F",2,3,1,1,1,0,0,0,1
603,NA,3,3,0,0,0,1,1,0,0
605,"M",7,3,0,0,0,1,1,0,0
606,"M",4,3,1,1,1,1,1,0,0
609,"M",4,3,1,1,1,1,1,0,0
611,"M",3,2,0,0,0,1,0,0,1
612,"F",2,3,1,1,1,1,0,0,1
613,"M",4,3,0,0,0,0,0,0,0
614,"M",3,2,0,0,0,0,0,0,1
616,"F",7,3,0,0,0,0,0,0,1
617,"M",2,3,1,1,1,0,0,1,0
618,"M",3,3,1,1,1,0,0,0,1
619,NA,2,3,1,0,1,0,0,0,1
622,"M",2,3,1,1,1,1,1,0,1
623,"M",3,3,1,1,1,1,0,0,1
629,"M",2,3,1,1,1,1,1,0,0
630,"M",6,3,0,0,0,0,0,0,1
631,"M",2,3,1,0,1,0,0,0,0
633,"F",5,3,1,1,1,0,0,0,0
634,"M",3,3,1,1,1,1,1,0,0
635,"M",3,3,0,0,0,0,0,0,0
637,"M",4,3,0,0,0,0,0,0,0
638,"F",6,3,1,1,1,0,0,0,1
640,"F",7,3,1,0,1,1,1,0,0
642,"F",4,3,1,1,1,1,1,0,0
645,"M",7,3,1,1,1,1,1,0,1
651,"M",3,3,0,0,0,0,0,0,0
652,"M",5,2,0,NA,0,0,0,1,0
653,"M",2,3,0,0,0,0,0,0,0
654,NA,NA,NA,1,0,1,1,1,0,0
657,"F",4,3,1,0,1,0,0,0,1
658,"M",3,3,1,0,0,0,0,0,1
660,"F",4,3,0,0,0,1,1,0,0
663,"F",2,3,1,1,1,1,1,0,1
668,"M",1,2,1,1,1,1,0,0,0
676,"M",3,3,0,0,0,1,1,0,1
678,"M",2,3,0,0,0,1,0,0,1
679,"M",3,3,1,1,1,0,0,0,1
680,"M",2,3,1,1,1,0,0,0,0
682,"M",4,3,1,1,1,1,1,0,1
683,"F",2,3,1,1,1,1,0,0,1
686,"F",3,3,1,1,1,0,0,0,0
688,"M",3,3,0,0,0,0,0,0,0
690,"M",4,3,1,1,1,1,0,0,1
692,"F",3,3,1,1,1,0,0,0,1
693,"F",2,3,1,1,1,0,0,0,1
694,"M",4,3,0,0,0,1,1,0,1
696,"M",3,3,1,1,1,0,0,0,1
697,"M",3,3,0,0,0,0,0,0,1
698,"F",5,3,1,1,1,0,0,0,1
700,"M",2,3,1,1,1,0,0,0,1
701,"M",2,3,0,0,0,1,1,0,1
702,"M",3,3,1,0,1,0,0,0,0
703,"M",3,3,1,1,1,0,0,0,1
706,"M",2,3,0,0,0,1,1,0,1
707,"M",5,NA,0,1,0,0,0,0,1
708,"M",4,3,1,1,1,0,0,0,1
709,"F",3,3,0,0,0,1,1,0,1
712,"M",4,3,1,1,1,0,0,0,1
715,"F",4,3,1,1,1,1,1,0,1
717,"M",4,3,1,1,1,1,1,0,0
718,"M",3,3,0,0,0,0,0,0,1
719,"F",2,3,1,1,1,1,0,0,0
720,"M",3,3,1,1,1,0,0,0,0
723,"M",5,3,1,1,1,0,0,0,1
726,"M",2,3,0,0,0,1,1,0,0
728,"F",2,3,1,1,1,0,0,0,1
729,"M",4,3,1,1,1,0,0,0,0
730,"M",3,3,1,1,1,1,0,0,1
733,"M",2,2,1,1,1,0,0,0,1
734,"M",3,3,1,0,1,0,0,0,0
735,"F",2,3,1,0,1,0,0,0,1
736,"M",3,3,1,1,1,1,1,0,1
737,"M",3,3,1,1,1,0,0,0,1
741,"M",3,3,1,1,1,0,0,0,0
742,"M",3,3,1,0,1,0,0,0,1
744,"M",2,3,1,1,1,0,0,0,1
747,"M",3,3,1,1,1,0,0,0,1
749,"M",2,3,0,0,0,1,0,0,0
750,"M",4,3,0,0,0,1,1,0,1
751,"M",3,3,1,1,1,1,1,0,1
752,"F",2,3,1,1,1,1,1,0,1
753,"M",6,3,1,0,1,0,0,0,1
754,"M",2,3,1,1,1,0,0,0,0
756,"M",6,2,1,0,1,0,0,0,1
759,"F",2,3,1,1,1,0,0,0,1
760,"M",4,3,1,1,1,1,1,0,1
761,"F",2,3,0,0,0,0,0,0,1
762,"M",4,3,1,1,1,1,1,0,1
765,"M",2,3,1,1,1,1,1,0,1
769,"F",2,3,0,0,0,1,0,0,0
770,"M",2,3,0,0,0,0,0,0,1
771,"M",3,3,1,1,1,1,1,0,1
772,"M",2,3,1,1,1,1,0,0,1
773,"F",7,3,1,0,1,0,0,0,1
775,"F",2,3,1,1,1,0,0,0,0
777,"M",2,3,1,1,1,0,0,0,0
778,"M",2,3,1,1,1,1,0,0,0
780,"M",2,3,0,0,0,1,1,0,0
781,"F",3,3,1,1,1,1,1,0,1
783,"M",2,3,0,NA,0,1,0,0,1
784,"F",2,3,1,1,1,0,0,0,1
787,NA,NA,NA,0,0,0,1,1,0,1
789,"M",2,3,1,1,1,0,0,0,0
790,"M",6,3,0,0,0,1,0,0,1
792,"F",2,3,1,0,1,1,0,0,1
793,"M",2,NA,1,1,1,1,0,0,1
794,"M",2,3,1,1,1,0,0,1,0
795,"M",2,3,1,1,1,1,0,0,1
796,"F",2,3,1,1,1,1,1,0,1
799,"F",3,3,1,0,1,0,0,0,1
800,"M",2,3,1,1,1,1,0,0,1
801,"M",3,3,1,1,1,0,0,0,0
805,"M",2,3,0,0,0,1,1,0,1
807,"M",3,3,1,0,1,0,0,0,1
809,"F",2,3,0,0,0,0,0,0,1
811,"F",2,3,1,1,1,0,0,0,1
812,"M",2,3,1,1,1,0,0,0,1
813,NA,NA,NA,1,1,1,1,1,0,1
815,"M",2,3,1,1,1,0,0,1,0
816,"M",2,3,1,1,1,1,0,0,1
817,"F",3,3,1,1,1,0,0,0,1
819,"M",3,3,0,0,0,0,0,0,0
822,"M",3,3,0,0,0,1,0,0,0
823,"M",2,3,1,0,0,1,1,0,1
826,"M",5,3,1,1,1,1,1,0,0
827,"M",3,3,1,0,1,0,0,0,1
829,"M",2,3,1,1,1,1,1,0,1
830,"F",2,3,1,1,1,1,1,0,1
832,"M",2,3,0,0,0,0,0,0,1
833,"M",3,2,0,0,0,0,0,1,0
835,"M",2,2,1,1,1,0,0,0,1
836,"M",2,3,1,0,1,0,0,0,1
837,"M",3,3,1,1,1,1,0,0,1
838,NA,2,3,1,1,1,1,0,0,0
839,"M",2,3,1,0,0,1,0,0,1
840,"M",3,3,1,1,1,0,0,0,0
841,"M",2,3,1,1,1,0,0,0,1
842,"F",2,2,1,0,1,1,1,0,1
843,"M",2,3,1,1,1,0,0,0,1
845,"M",2,3,0,0,0,0,0,0,1
847,"M",2,3,1,0,0,0,0,0,1
848,"F",3,3,1,1,1,0,0,0,1
850,"F",4,3,0,0,0,1,1,0,1
854,"M",2,3,1,1,1,0,0,0,1
856,"M",1,2,1,1,1,1,0,0,0
860,"M",2,3,1,1,1,0,0,0,1
863,"M",2,3,1,1,1,0,0,0,1
864,"M",2,3,1,1,1,0,0,0,1
865,"M",2,3,1,1,1,0,0,0,0
866,NA,2,2,1,0,1,1,0,0,1
867,"M",3,3,1,1,1,1,1,0,1
872,"F",3,2,0,0,0,1,0,0,1
874,"M",2,3,1,0,1,1,0,0,0
877,"M",4,3,0,0,0,0,0,0,0
879,"F",4,2,1,0,1,0,0,0,1
881,"M",2,3,1,1,1,1,1,0,1
882,"M",4,3,0,0,0,1,1,0,0
883,"M",3,3,1,1,1,0,0,0,1
884,"F",3,3,1,1,1,0,0,0,0
885,"M",2,3,1,1,1,0,0,0,1
887,"M",2,NA,0,0,0,1,0,0,0
889,"M",3,3,0,0,0,1,1,0,1
892,"M",2,3,0,0,0,1,0,0,1
893,"F",2,3,1,1,1,0,0,0,0
896,"M",2,3,1,1,1,0,0,0,1
897,"F",2,3,1,1,1,0,0,0,0
899,"M",3,3,1,1,1,1,1,0,0
901,"M",3,3,1,1,1,1,1,0,1
902,"F",2,3,1,1,1,0,0,0,1
903,"F",2,3,1,1,1,0,0,0,1
904,"M",4,3,1,1,1,0,0,0,1
906,"M",2,3,1,0,1,1,1,0,0
908,"M",2,3,1,1,1,1,0,0,1
909,"F",2,3,1,1,1,0,0,0,0
911,"F",1,3,1,1,1,1,1,0,0
912,NA,NA,NA,1,1,1,1,1,0,0
913,"F",2,3,1,0,1,0,0,0,1
916,"M",6,3,0,NA,0,1,1,0,1
917,"F",3,3,0,0,0,0,0,1,0
921,"M",1,2,1,1,1,1,1,0,0
922,"F",3,3,1,1,1,1,1,0,1
925,"F",2,3,1,0,1,0,0,0,1
926,"F",2,3,0,0,0,1,0,0,1
928,"M",3,3,1,1,1,1,0,0,1
929,"M",2,3,0,0,0,0,0,0,0
930,"M",2,3,1,1,1,1,1,0,0
932,"M",4,3,1,0,1,0,0,0,1
933,"F",3,3,1,0,1,0,0,0,0
936,"M",3,3,0,0,0,0,0,0,1
938,NA,2,3,1,1,1,1,1,0,1
939,"M",2,3,1,1,1,0,0,0,1
940,"M",4,3,1,0,1,0,0,0,1
941,"M",1,2,1,1,1,1,1,0,0
942,"F",2,3,1,1,1,1,0,0,1
943,"M",3,3,1,1,1,1,1,0,1
946,"M",2,2,1,0,0,1,0,0,1
947,"M",4,3,1,1,1,1,0,0,1
949,"M",1,3,0,0,0,1,1,0,0
950,"M",3,3,1,0,1,1,1,0,1
952,"M",2,3,1,1,1,0,0,0,1
953,"M",2,3,1,1,1,0,0,0,1
955,"F",3,3,0,0,0,0,0,0,0
956,"F",2,3,1,1,1,0,0,0,0
957,"M",3,NA,0,0,0,1,0,0,0
960,"F",3,3,1,0,1,1,1,0,1
961,"M",3,3,1,1,1,1,0,0,1
963,"F",2,3,1,1,1,0,0,1,0
965,"M",2,3,1,1,1,1,0,0,1
966,"F",2,3,1,1,1,0,0,0,1
967,"M",5,3,0,0,0,1,1,0,1
969,"M",3,3,0,0,0,1,1,0,1
971,"M",2,3,0,0,0,1,0,0,1
972,"M",2,3,0,0,0,1,1,0,1
976,"M",3,3,0,0,0,1,0,0,0
981,"M",2,3,0,0,0,1,0,0,0
982,"M",5,3,1,1,1,0,0,0,0
984,"F",2,3,1,1,1,0,0,0,0
986,NA,2,3,0,0,0,0,0,0,0
987,"M",3,3,0,0,0,0,0,0,1
990,"M",2,3,1,0,1,1,0,0,1
993,"M",2,3,1,1,1,0,0,0,1
994,"M",2,2,0,0,0,0,0,0,1
995,"M",2,3,1,0,1,0,0,0,1
997,"M",2,3,1,0,1,1,1,0,1
998,"M",2,3,0,0,0,0,0,0,1
999,NA,2,3,1,0,1,1,1,0,1
1000,"M",2,3,1,1,1,0,0,0,1
1001,"M",2,3,0,0,0,0,0,0,0
1004,"M",3,3,1,1,1,1,1,0,1
1005,"F",3,3,1,1,1,0,0,0,1
1008,"M",3,3,0,0,0,0,0,0,1
